cancellation,no_delivery,delivery_delay,delivery_time,late_delivery_flag,avg_installments,total_payment,freight_value,product_description_length,product_photos_qty,is_dissatisfied
0.0,0.0,-2.0,25.0,0.0,8.0,86.22,17.22,177.0,3.0,0
0.0,0.0,-12.0,20.0,0.0,4.0,43.62,17.63,1741.0,5.0,0
0.0,0.0,-28.0,4.0,0.0,3.0,150.12,15.12,1118.0,6.0,0
0.0,0.0,-12.0,16.0,0.0,2.0,29.0,15.1,116.0,1.0,0
0.0,0.0,-8.0,10.0,0.0,1.0,126.26,38.94,472.0,4.0,0
0.0,0.0,-15.0,11.0,0.0,3.0,91.28,14.29,711.0,3.0,0
0.0,0.0,-13.0,13.0,0.0,4.0,93.7,23.7,156.0,1.0,0
0.0,0.0,-14.0,8.0,0.0,1.0,212.16,38.94,851.0,1.0,0
0.0,0.0,-33.0,10.0,0.0,1.0,76.11,16.12,1854.0,6.0,0
0.0,0.0,-20.0,8.0,0.0,3.0,192.83,18.5,431.0,2.0,0
0.0,0.0,-28.0,11.0,0.0,5.0,117.94,17.95,873.0,2.0,0
0.0,0.0,-15.0,7.0,0.0,1.0,155.65,25.75,424.0,2.0,1
0.0,0.0,-19.0,15.0,0.0,2.0,58.86,10.96,200.0,1.0,0
0.0,0.0,-21.0,8.0,0.0,1.0,91.21,38.94,640.0,1.0,0
0.0,0.0,-18.0,3.0,0.0,1.0,36.73,11.85,679.0,1.0,0
0.0,0.0,0.0,31.0,0.0,1.0,135.08,38.94,1893.0,1.0,0
0.0,0.0,-11.0,10.0,0.0,3.0,35.84,10.96,679.0,1.0,0
0.0,0.0,-16.0,23.0,0.0,4.0,237.81,38.94,1286.0,1.0,0
0.0,0.0,-28.0,8.0,0.0,1.0,64.42,14.52,411.0,5.0,1
0.0,0.0,-26.0,8.0,0.0,1.0,38.09,14.1,575.0,1.0,0
0.0,0.0,-12.0,9.0,0.0,1.0,130.56,15.56,724.0,1.0,0
0.0,0.0,-12.0,12.0,0.0,6.0,137.99,18.09,1501.0,1.0,0
0.0,0.0,10.0,33.0,1.0,1.0,77.57,17.67,366.0,2.0,1
0.0,0.0,-11.0,6.0,0.0,3.0,62.47,12.48,458.0,2.0,0
0.0,0.0,-17.0,12.0,0.0,4.0,109.78,38.94,379.0,1.0,0
0.0,0.0,-27.0,26.0,0.0,1.0,144.94,16.04,485.0,1.0,0
0.0,0.0,-14.0,14.0,0.0,1.0,42.62,25.63,176.0,2.0,0
0.0,0.0,-13.0,6.0,0.0,10.0,162.77,14.77,1972.0,2.0,0
0.0,0.0,14.0,45.0,1.0,1.0,65.78,15.79,895.0,1.0,1
0.0,0.0,-51.0,8.0,0.0,1.0,143.73,23.83,242.0,4.0,0
0.0,0.0,-21.0,13.0,0.0,5.0,228.79,29.79,234.0,1.0,0
0.0,0.0,-4.0,21.0,0.0,8.0,178.59,21.59,1070.0,2.0,0
0.0,0.0,-19.0,3.0,0.0,1.0,137.26,17.27,1255.0,1.0,0
0.0,0.0,-5.0,16.0,0.0,2.0,162.79,14.79,606.0,2.0,0
0.0,0.0,-25.0,13.0,0.0,3.0,85.04,15.24,144.0,1.0,0
0.0,0.0,-13.0,8.0,0.0,3.0,64.42,14.52,497.0,4.0,0
0.0,0.0,-11.0,10.0,0.0,4.0,52.38,12.48,144.0,2.0,0
0.0,0.0,-14.0,6.0,0.0,8.0,128.95,19.05,459.0,1.0,0
0.0,0.0,78.0,99.0,1.0,4.0,112.33,16.43,670.0,1.0,0
0.0,0.0,-9.0,9.0,0.0,1.0,76.18,16.18,558.0,1.0,0
0.0,0.0,-1.0,21.0,0.0,1.0,26.01,16.11,567.0,1.0,0
0.0,0.0,-7.0,13.0,0.0,1.0,109.04,29.04,503.0,4.0,1
0.0,0.0,-19.0,4.0,0.0,1.0,109.29,14.39,702.0,1.0,0
0.0,0.0,-14.0,9.0,0.0,2.0,127.98,24.01,611.0,2.0,0
0.0,0.0,-21.0,11.0,0.0,1.0,73.96,17.96,181.0,1.0,0
0.0,0.0,-3.0,16.0,0.0,1.0,32.38,12.48,390.0,1.0,0
0.0,0.0,-15.0,9.0,0.0,1.0,46.69,16.79,279.0,2.0,0
0.0,0.0,-28.0,8.0,0.0,4.0,49.6,17.6,595.0,1.0,0
0.0,0.0,-30.0,16.0,0.0,4.0,187.96,27.97,1155.0,6.0,0
0.0,0.0,-16.0,5.0,0.0,1.0,63.9,14.1,1626.0,4.0,0
0.0,0.0,-10.0,5.0,0.0,10.0,204.83,14.93,162.0,5.0,0
0.0,0.0,-6.0,10.0,0.0,2.0,119.32,29.42,617.0,3.0,0
0.0,0.0,-4.0,7.0,0.0,1.0,94.35,9.41,733.0,6.0,0
0.0,0.0,11.0,34.0,1.0,1.0,66.64,17.64,348.0,2.0,1
0.0,0.0,-11.0,9.0,0.0,9.0,99.32,19.42,500.0,1.0,0
0.0,0.0,-20.0,4.0,0.0,1.0,61.77,16.79,624.0,7.0,0
0.0,0.0,-8.0,9.0,0.0,1.0,123.39,14.49,660.0,1.0,0
0.0,0.0,-9.0,6.0,0.0,10.0,215.01,15.01,162.0,5.0,0
0.0,0.0,-21.0,13.0,0.0,1.0,70.53,25.63,589.0,4.0,0
0.0,0.0,2.0,24.0,1.0,2.0,112.08,12.09,1012.0,1.0,1
0.0,0.0,-17.0,9.0,0.0,4.0,41.69,16.79,839.0,1.0,0
0.0,0.0,-19.0,8.0,0.0,4.0,64.0,15.1,362.0,4.0,0
0.0,0.0,-16.0,6.0,0.0,1.0,90.85,12.05,1262.0,4.0,0
0.0,0.0,-9.0,30.0,0.0,1.0,64.55,29.55,1186.0,3.0,0
0.0,0.0,-19.0,13.0,0.0,1.0,151.11,24.12,586.0,3.0,0
0.0,0.0,-17.0,5.0,0.0,7.0,132.05,18.05,1049.0,1.0,0
0.0,0.0,-4.0,8.0,0.0,4.0,40.77,7.78,286.0,3.0,0
0.0,0.0,-21.0,8.0,0.0,2.0,166.59,38.94,707.0,5.0,0
0.0,0.0,-12.0,7.0,0.0,3.0,30.27,14.1,372.0,1.0,0
0.0,0.0,-11.0,14.0,0.0,1.0,25.85,15.1,182.0,3.0,0
0.0,0.0,-7.0,9.0,0.0,3.0,93.78,8.79,1071.0,1.0,1
0.0,0.0,-8.0,2.0,0.0,2.0,149.69,9.79,611.0,2.0,1
0.0,0.0,-9.0,13.0,0.0,2.0,226.22,16.22,392.0,1.0,0
0.0,0.0,-13.0,8.0,0.0,1.0,43.58,13.37,617.0,1.0,0
0.0,0.0,-7.0,13.0,0.0,4.0,185.83,11.83,359.0,3.0,0
0.0,0.0,-8.0,14.0,0.0,3.0,110.72,38.94,941.0,1.0,0
0.0,0.0,-10.0,10.0,0.0,2.0,186.92,17.92,1950.0,3.0,0
0.0,0.0,-4.0,14.0,0.0,2.0,35.4,15.1,971.0,1.0,1
0.0,0.0,-11.0,3.0,0.0,1.0,101.73,11.83,419.0,1.0,0
0.0,0.0,-21.0,8.0,0.0,3.0,147.55,17.65,2448.0,2.0,0
0.0,0.0,0.0,24.0,0.0,1.0,49.69,16.79,221.0,5.0,1
0.0,0.0,-12.0,2.0,0.0,1.0,36.48,7.78,741.0,7.0,0
0.0,0.0,-9.0,14.0,0.0,1.0,66.99,17.09,528.0,1.0,0
0.0,0.0,-16.0,17.0,0.0,1.0,60.05,34.15,3831.0,1.0,0
0.0,0.0,-21.0,7.0,0.0,1.0,64.42,14.52,1786.0,1.0,1
0.0,0.0,-15.0,3.0,0.0,3.0,144.66,9.76,397.0,1.0,0
0.0,0.0,0.0,23.0,0.0,1.0,40.6,15.1,506.0,4.0,0
0.0,0.0,-23.0,11.0,0.0,8.0,231.45,21.55,998.0,7.0,0
0.0,0.0,-20.0,2.0,0.0,1.0,100.54,20.64,489.0,2.0,0
